	Tweets	Date	Source	Likes	RTs
164	@TMZ Stan lee is rolling over in his fresh grave	2018-11-28 15:41:24	Twitter for iPhone	0	0
165	Stephen Hawking and Stan Lee died in the same year	2018-11-28 15:41:19	Twitter for iPhone	0	0
166	@UnitedSaintsAm @davidf4444 @williez7 @deplorabletide @CatFertitta @judy3birds @Whiskey100Proof @naniof_two… https://t.co/l7qWUSHr74	2018-11-28 15:40:12	Twitter for Android	2	0
167	Stan Lee death certificate reveals the Marvel Comics creator died from lung failure after 'inhaling food' https://t.co/MfZOKNS54e	2018-11-28 15:39:15	Twitter for Android	0	0
168	"I MADE IT TO TEN EPISODES! 🥳
Brand new episode of #FangirlForum is up! My friends (@emilyedominguez &amp; @TulleyUNC) a… https://t.co/B7LRPJCX5C"	2018-11-28 15:38:20	Twitter Web Client	2	0
169	They have a Stan Lee Cameo in Ralph breaks the internet. Emotional moment 😢	2018-11-28 15:37:56	Twitter for iPhone	0	0
170	First Stan Lee and now Stephen Hillenburg... 2018 please end now. I beg you please don't take another pure soul with you	2018-11-28 15:37:27	Twitter for Android	0	0
171	@Sir_Floof Stan Lee was bad enough but this. I have seen literally every episode of spongebob just because when I w… https://t.co/JksjtjjS0d	2018-11-28 15:36:13	Twitter for iPhone	1	0
172	why stan lee when you can stan ehp	2018-11-28 15:36:11	Twitter Web Client	3	0
173	@insomniacgames should add a Stan Lee skin for Spidey and have the suit power like the Vintage Comic Book Suit, but… https://t.co/0EXkw6H5yd	2018-11-28 15:34:50	Twitter Web Client	0	0
174	@danierruu @MacMiller Xxxtentacion and stan lee	2018-11-28 15:34:17	Twitter for Android	1	0
175	📷 mcavoy: REST IN PEACE STAN LEE (1922-2018)  https://t.co/WV6xsOc3MP	2018-11-28 15:33:40	Tumblr	0	0
176	The stan lee cameo in Wreck it ralph 2 https://t.co/KiFPwqOjqQ	2018-11-28 15:33:30	Twitter for iPhone	3	0
